ФИО	Всего вопросов	Правильных ответов	Неверных ответов
	1	0	1
	1	0	1
	1	0	1
	4	2	2
	4	0	4
cdx	4	0	4
h	1	0	1
l	1	0	1
d	2	1	1
d	2	1	1
fds	2	1	1
fds	2	2	0
r	1	1	0
d	1	1	0
f	1	0	0
t	1	0	0
t	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
d	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
а	1	1	0
а	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
c	1	1	0
c	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
g	1	1	0
f	1	1	0
f	1	1	0
d	1	1	0
h	1	1	0
d	1	1	0
вы	1	1	0
в	1	1	0
f	1	1	0
f	1	1	0
а	1	1	0
h	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
fg	1	1	0
h	1	1	0
h	1	1	0
f	1	1	0
h	1	1	0
f	1	1	0
cf	1	1	0
d	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
f	1	1	0
df	1	1	0
f	1	1	0
q	1	1	0
f	1	1	0
e	1	1	0
e	1	1	0
f	1	1	0
